Country Code,City,Location,Coordinates,Last Updated,BC,CO,NO,NO2,NOX,O3,PM1,PM10,PM2.5,SO2,AQI_Category
AD,Escaldes-Engordany,AD0942A,"42.5096939994651, 1.539138",2023-05-31T08:30:00+05:30,,,0.6,,,,,,,,Unknown
AD,Escaldes-Engordany,AD0942A,"42.5096939994651, 1.539138",2023-05-31T09:30:00+05:30,,100.0,,4.7,,50.5,,11.0,7.9,0.2,Good
AD,Escaldes-Engordany,AD0944A,"42.516943999465, 1.56525",2023-05-31T09:30:00+05:30,,,,,,108.7,,,,,Unknown
AD,unused,AD0945A,"42.534882999465, 1.716986",2023-04-18T19:30:00+05:30,,,,,,45.8,,,,,Unknown
AE,Abu Al Abyad,E11+Road,"24.035099, 53.88529",2024-03-25T13:30:00+05:30,,150.0,,5.63,,,,281.0,,13.72,Unknown
AE,Abu Dhabi,Al Mafraq,"24.28697, 54.58610000000001",2024-03-25T13:30:00+05:30,,,,21.58,,,,508.0,,6.51,Unknown
AE,Abu Dhabi,Al Maqtaa,"24.40349, 54.51599",2024-03-25T13:30:00+05:30,,240.0,,13.82,,6.08,,292.0,,11.1,Unknown
AE,Abu Dhabi,Baniyas School,"24.32129, 54.63589",2024-03-25T13:30:00+05:30,,,,1.37,,66.61,,305.0,,5.86,Unknown
AE,Abu Dhabi,Bida Zayed,"23.652199, 53.70379",2024-03-25T13:30:00+05:30,,,,10.16,,55.46,,68.0,,11.66,Unknown
AE,Abu Dhabi,Khalifa City A,"24.419899, 54.57809",2024-03-25T13:30:00+05:30,,,,4.45,,49.98,,306.0,,4.16,Unknown
AE,Abu Dhabi,Khalifa School,"24.4299, 54.408399",2024-03-25T13:30:00+05:30,,,,16.81,,40.57,,126.0,,15.6,Unknown
AE,Abu Dhabi,Mussafah,"24.34715, 54.5028",2024-03-25T03:30:00+05:30,,,,41.31,,,,,,16.89,Unknown
AE,Abu Dhabi,Mussafah,"24.34715, 54.5028",2024-03-25T09:30:00+05:30,,,,,,,,206.0,,,Unknown
AE,Abu Dhabi,SPARTAN - Abu Dhabi,"24.4416, 54.6166",2023-06-07T22:30:00+05:30,,,,,,,,,90.2,,Moderate
AE,Abu Dhabi,US Diplomatic Post: Abu Dhabi,"24.424399, 54.433746",2024-03-25T13:30:00+05:30,,,,,,-0.999,,,-999.0,,Good
AE,Al Ain,Al Ain Islamic Institute,"24.219, 55.7348",2024-03-25T13:30:00+05:30,,,,,,38.93,,207.0,,,Unknown
